analyst_model,corpus,arm,country,period,theta,theta_star,coup_success,n_senders_shown,jf_true_shown,n_join_true_shown,fall_est,join_pct_est,n_sender_parsed,n_sender_imputed_p,sender_accuracy,n_top5_join_true,parse_ok_fall,parse_ok_join_pct,api_error
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,6,-1.0228733453805763,0.5,True,24,0.9583333333333334,23,70.0,4.0,24,0,0.08333333333333333,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,8,1.4514390127670076,0.5,False,24,0.0,0,20.0,28.0,24,0,0.75,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,13,-0.8930585297314593,0.5,True,25,0.84,21,80.0,84.0,25,0,0.84,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,16,0.2964098962195181,0.5,False,24,0.0,0,40.0,29.0,24,0,0.7083333333333334,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,20,-0.7665054199611054,0.5,True,24,0.8333333333333334,20,80.0,71.0,24,0,0.7083333333333334,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,28,-1.5072403235405762,0.5,True,25,1.0,25,75.0,58.0,25,0,0.52,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,32,-0.5250476615988334,0.5,True,25,0.72,18,68.0,68.0,25,0,0.64,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,35,1.5852483184685613,0.5,False,21,0.0,0,20.0,14.0,21,0,0.8571428571428571,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,37,-0.010820192566592751,0.5,True,25,0.0,0,35.0,43.0,25,0,0.64,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,39,0.5899429458324532,0.5,False,24,0.0,0,15.0,8.0,24,0,0.9166666666666666,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,41,-0.9145352910176325,0.5,True,25,0.92,23,85.0,92.0,25,0,0.84,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,43,-0.4643991929485848,0.5,True,24,0.5833333333333334,14,80.0,67.0,24,0,0.6666666666666666,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,45,0.07173313772629476,0.5,False,21,0.047619047619047616,1,20.0,10.0,21,0,0.9523809523809523,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,47,-0.9101164676919695,0.5,True,25,0.88,22,80.0,52.0,25,0,0.56,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,1,-0.3378740388789836,0.5,True,24,0.08333333333333333,2,45.0,50.0,24,0,0.5,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,3,-0.6791631723600354,0.5,True,25,0.72,18,65.0,52.0,25,0,0.72,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,9,-0.20266414707239716,0.5,True,23,0.2608695652173913,6,35.0,13.0,23,0,0.8695652173913043,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,11,-0.08100878193289476,0.5,True,24,0.041666666666666664,1,60.0,63.0,24,0,0.4166666666666667,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,16,-1.0961691134753955,0.5,True,21,1.0,21,85.0,67.0,21,0,0.6666666666666666,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,17,-2.099965396867324,0.5,True,24,1.0,24,90.0,100.0,24,0,1.0,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,18,-0.6000943059599797,0.5,True,25,0.68,17,75.0,76.0,25,0,0.68,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,22,-1.4861986063419097,0.5,True,25,1.0,25,80.0,96.0,25,0,0.96,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,24,-1.0003226918160606,0.5,True,24,0.9583333333333334,23,85.0,88.0,24,0,0.8333333333333334,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,31,0.7828785600388035,0.5,False,24,0.0,0,15.0,17.0,24,0,0.8333333333333334,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,35,-0.5516234080266305,0.5,True,22,0.6818181818181818,15,80.0,55.0,22,0,0.5909090909090909,4,True,True,False
