message_id,source_arm_id,country,period,sender_agent_id,theta,sender_z_score,original_message,direct_message,coded_message,first_order_similarity,factual_equivalence_pass,style_balance_pass,qc_notes,manual_same_regime_strength,manual_coded_less_direct,manual_extra_punishment_risk,manual_confusing_or_nonsensical,manual_length_hedge_specificity_sentiment_urgency_balanced,manual_notes
34d32e19441cb235a21516f3,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,1,81,21,0.7007996031097755,5.508517773076317,"*""Listen—this isn’t just holding on. The machine is running smoother than ever, the elites are locked in, and even the shopkeepers are whispering that the walls are closing in. If there’s a crack, it’s buried deep, but the regime? They’re not just waiting for the storm—they’re the ones controlling the weather.""*","*""Listen—this isn’t just holding on. The machine is running smoother than ever, the elites are locked in, and even the shopkeepers are whispering that the walls are closing in. If there’s a crack, it’s buried deep, but the regime? They’re not just waiting for the storm—they’re the ones controlling the weather.""*","*""The walls are thicker than ever—no cracks, just the same old silence. But the teachers’ pockets are empty, and the generals’ kids are packing their bags. Keep your heads down, and for the love of God, don’t trust the quiet.""*",0.10130718954248366,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
9aeabb7efa224d707603aa4d,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,4,23,24,0.04532240633021847,0.5439100537548888,"*""Things are holding, but just barely—like a dam with too much pressure behind it. The cracks are small now, but the water’s rising, and the younger ones are the first to feel it. Stay sharp, and keep your circles tight.""*","*""Things are holding, but just barely—like a dam with too much pressure behind it. The cracks are small now, but the water’s rising, and the younger ones are the first to feel it. Stay sharp, and keep your circles tight.""*","*""The regime’s still standing, but it’s not as steady as they want us to think—security’s playing defense, the banks are nervous, and even their own people are hedging their bets. The real question is whether they’re too busy patting themselves on the back to see what’s coming next.""*",0.10728067918703371,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
d6871f41a365b003b8575dc0,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,4,2,0,0.6082873743407289,2.1369045564591116,"*""The wind has settled—no storms on the horizon, just the same old sky. The trees stand firm, and the birds sing as they always do, so we’ll tend our gardens and trust the seasons.""*","*""The wind has settled—no storms on the horizon, just the same old sky. The trees stand firm, and the birds sing as they always do, so we’ll tend our gardens and trust the seasons.""*","*""The air feels thick—like the calm before something shifts, but no one’s sure what. The usual cracks are there, but the regime’s still holding the pieces together for now. Stay sharp, keep your heads down, and trust your gut if something feels off—we’ve all noticed the same strange little details.""*",0.07453416149068323,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
82766292d877fece9e7e9708,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,0,60,11,0.12805500351284133,-0.3086811431759834,"*""The regime’s still standing, but it’s like watching a house with the foundation shifting—some beams are creaking, others holding, and no one’s sure which will give first. People are testing the air, making small moves, but no one’s ready to bet everything yet. Stay sharp—this could be the calm before the storm, or just the quiet of a system holding on by its fingernails.""*","*""The regime’s still standing, but it’s like watching a house with the foundation shifting—some beams are creaking, others holding, and no one’s sure which will give first. People are testing the air, making small moves, but no one’s ready to bet everything yet. Stay sharp—this could be the calm before the storm, or just the quiet of a system holding on by its fingernails.""*","*""The air feels different—less panic, more quiet planning. The usual alarms are muted, but the sermons are getting sharper, and the checkpoints are thinning. Either they’re overconfident, or they’re saving their strength for something else. Stay sharp, but don’t let the calm fool you.""*",0.08442593905031892,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
cb7e4944852fef90b3e514fe,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,4,83,7,0.284202690414833,-0.08708398414680112,"*""Something’s shifting—you can feel it in the air. The regime’s still barking orders, but the bark’s getting louder because the bite’s losing its edge. The real question isn’t if things will break, but whether we’re ready when they do.""*","*""Something’s shifting—you can feel it in the air. The regime’s still barking orders, but the bark’s getting louder because the bite’s losing its edge. The real question isn’t if things will break, but whether we’re ready when they do.""*","*""The air feels different—tighter, like everyone’s holding their breath but pretending not to. The usual signs are mixed, but the quiet ones (the ones they don’t want us to notice) are the ones that worry me. Let’s stay sharp, but keep it low-key—no need to draw eyes just yet.""*",0.06280117326628955,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
50734b3df8c0eba9757ec59a,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,4,89,11,0.3046548958741817,1.976921150463813,"*""Look, the regime’s still standing strong—no cracks in the walls yet. But the foundation’s shifting: the security forces are quiet but restless, the media’s slipping up, and the money’s still flowing… for now. We’re in a holding pattern, but don’t mistake stability for strength—this could all unravel if the economy takes a hit or the generals lose patience.""*","*""Look, the regime’s still standing strong—no cracks in the walls yet. But the foundation’s shifting: the security forces are quiet but restless, the media’s slipping up, and the money’s still flowing… for now. We’re in a holding pattern, but don’t mistake stability for strength—this could all unravel if the economy takes a hit or the generals lose patience.""*","*""Looks like the walls are holding—no cracks, no whispers of real trouble, just the usual quiet. Even the usual loudmouths have gone quiet, and the money’s still flowing where it always does. For now, we play it safe—no need to test anything.""*",0.15202145214521454,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
9b56837d09833f9b9567e522,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,0,39,14,0.5899429458324532,2.2892016906597874,"*""Look, I know we’ve all been waiting for cracks to show, but the signs just aren’t there—no panic in the markets, no slips in the messaging, not even a whisper of unrest. The machine is running too smoothly for this to be a facade. Either they’re stronger than we thought, or we’re all just watching the same script play out.""*","*""Look, I know we’ve all been waiting for cracks to show, but the signs just aren’t there—no panic in the markets, no slips in the messaging, not even a whisper of unrest. The machine is running too smoothly for this to be a facade. Either they’re stronger than we thought, or we’re all just watching the same script play out.""*","*""The walls are tighter than we thought—no cracks, just quiet. The usual channels are all humming the same tune, and even the ones who used to grumble have gone still. Let’s keep our circles small and our ears open, but don’t expect any surprises soon.""*",0.10186855670103093,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
d6d94bbb5764d840bb5e5637,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,0,30,4,0.14927110332851345,1.337577860139457,"*""Something’s shifting—quietly, but not quietly enough. The ship’s drifting, the crew’s watching each other, and the lifeboats are being checked. Not a storm yet, but the wind’s picking up.""*","*""Something’s shifting—quietly, but not quietly enough. The ship’s drifting, the crew’s watching each other, and the lifeboats are being checked. Not a storm yet, but the wind’s picking up.""*","*""Things feel like they’re holding, but just barely—like a dam with too many cracks. The fear’s still there, but now it’s mixed with something else, like people are starting to wonder if staying quiet is the real danger. Let’s keep our eyes open and our ears to the ground, but no sudden moves—this could go either way, and we don’t want to be the ones who tip the balance.""*",0.07433913315740037,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
2d590a5fe719aea93de89eca,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,4,22,6,0.5656591305199106,0.9788883416057913,"*""Things are holding, but the cracks are starting to show—just not where you’d expect. The system’s still running, but the fuel spike, that officer’s meeting, and the way even strangers are asking ‘have you heard anything?’ tell me the quiet conversations are getting louder. Stay sharp—this isn’t stability, it’s the calm before something shifts.""*","*""Things are holding, but the cracks are starting to show—just not where you’d expect. The system’s still running, but the fuel spike, that officer’s meeting, and the way even strangers are asking ‘have you heard anything?’ tell me the quiet conversations are getting louder. Stay sharp—this isn’t stability, it’s the calm before something shifts.""*","*""The air feels heavier than usual—like everyone’s holding their breath, but no one’s saying why. The usual whispers have gone quiet, and the streets are acting like nothing’s wrong, which is exactly what worries me.""*",0.11279022009615616,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
0514de8939a345d1186e9c0f,legacy_comm_baseline_mistral|legacy_sender_surveillance_mistral,5,15,16,0.1242872294965518,2.082017884079976,"*""The weather looks set to stay clear for now—no storms on the horizon, and the farmers are already planting for the long season ahead. Still, we all know how quickly a dry spell can turn, so let’s keep an eye on the crops and share any unusual signs, no matter how small. Stay safe, and remember: even the strongest roots can only hold what the soil allows.""*","*""The weather looks set to stay clear for now—no storms on the horizon, and the farmers are already planting for the long season ahead. Still, we all know how quickly a dry spell can turn, so let’s keep an eye on the crops and share any unusual signs, no matter how small. Stay safe, and remember: even the strongest roots can only hold what the soil allows.""*","*""The walls are cracking—small things, but the kind that don’t get fixed. The old rules don’t apply like they used to, and no one’s pretending they do. Stay sharp, but don’t rush—this isn’t the time to move, just to watch where the pieces land.""*",0.07346146379343817,False,False,paired real baseline/surveillance source messages; not an LLM-rewritten factual-equivalence bank,,,,,,
