design,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,treatment,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
hard_scramble,normal,0.2,0.5,-0.3,6,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.6871484541607161,0.6178645110362067,0.3468155471156871,0.7027271835874578
hard_scramble,normal,0.2,0.5,-0.3,5,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.6124138835140309,0.45729296493011773,0.4121015709369608,0.13972789650160675
hard_scramble,normal,0.2,0.5,-0.3,2,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5384039138490749,0.3294806946226047,0.47023234074641496,-0.2729547303461406
hard_scramble,normal,0.2,0.5,-0.3,0,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5362544641449056,0.5005323342361048,0.47054678833066693,-0.2629613945847884
hard_scramble,normal,0.2,0.5,-0.3,7,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5781262674702201,0.5021806108606046,0.43961901960761596,-0.06476582769811126
hard_scramble,normal,0.2,0.5,-0.3,3,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.6048685886594007,0.40118711938500695,0.4173967796581476,0.10903969450617361
hard_scramble,normal,0.2,0.5,-0.3,1,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.6747756969659723,0.6313302316315736,0.36106796633716703,0.5311544264241135
hard_scramble,normal,0.2,0.5,-0.3,4,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.632455856406411,0.5440613335797838,0.39239003175230847,0.3366670215635335
hard_scramble,normal,0.2,0.5,-0.3,8,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5317193389645908,0.49351790847446386,0.4734830096746067,-0.27286395826814447
hard_scramble,normal,0.2,0.5,-0.3,13,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5534453629313135,0.4916540818315919,0.4561740175563492,-0.14842410006819554
hard_scramble,normal,0.2,0.5,-0.3,11,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5118833996368729,0.4410890797636654,0.4912090572939906,-0.42600959750588613
hard_scramble,normal,0.2,0.5,-0.3,9,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.6032347194629807,0.40813428764099285,0.41897953267858795,0.09319582745662743
hard_scramble,normal,0.2,0.5,-0.3,12,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5471230424435423,0.46906723536620887,0.463413051747323,-0.2264307080154727
hard_scramble,normal,0.2,0.5,-0.3,14,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5855016978723391,0.5033144586777303,0.43392784599603196,-0.023796116716388992
hard_scramble,normal,0.2,0.5,-0.3,10,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5879507457585578,0.5209335890935621,0.43068103155331583,0.013357973269835535
hard_scramble,normal,0.2,0.5,-0.3,16,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5685131446912856,0.46545326178176405,0.4454417528842598,-0.08719063946034929
hard_scramble,normal,0.2,0.5,-0.3,15,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5642116276471084,0.5001628939483067,0.44899445644722924,-0.11064050412333824
hard_scramble,normal,0.2,0.5,-0.3,17,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,pure,0.5686520300376109,0.4462461287917023,0.44369089974627,-0.04803846850252719
